VEHICLE_BREADCRUMB_ID,VEHICLE_NUMBER,EQUIPMENT_CLASS,ARRIVE_DATETIME,SERVICE_DATE,ARRIVE_TIME,LONGITUDE,LATITUDE,DWELL,DISTANCE,SPEED,SATELLITES,HDOP,OCCURRENCES,VALID_FLAG,LAST_USER,LAST_TIMESTAMP
4313659871,3411,B,29OCT2021:07:22:25,29OCT2021:00:00:00,26545,-122.770773,45.520887,0,131377.96,20,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659872,3411,B,29OCT2021:07:22:30,29OCT2021:00:00:00,26550,-122.770233,45.520937,0,131512.47,18,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659873,3411,B,29OCT2021:07:22:35,29OCT2021:00:00:00,26555,-122.769765,45.520898,0,131637.14,17,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659874,3411,B,29OCT2021:07:22:40,29OCT2021:00:00:00,26560,-122.769612,45.520553,0,131771.66,18,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659875,3411,B,29OCT2021:07:22:45,29OCT2021:00:00:00,26565,-122.769625,45.520123,0,131925.86,21,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659876,3411,B,29OCT2021:07:22:50,29OCT2021:00:00:00,26570,-122.769647,45.519718,0,132070.21,20,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659877,3411,B,29OCT2021:07:22:55,29OCT2021:00:00:00,26575,-122.76966,45.5193,0,132221.13,21,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659878,3411,B,29OCT2021:07:23:00,29OCT2021:00:00:00,26580,-122.769672,45.51887,0,132378.61,21,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659879,3411,B,29OCT2021:07:23:05,29OCT2021:00:00:00,26585,-122.769685,45.518405,0,132545.94,23,9,0.9,1,Y,TRANS,31OCT2021:06:06:40
4313659880,3411,B,29OCT2021:07:23:10,29OCT2021:00:00:00,26590,-122.769693,45.517922,0,132719.82,24,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659881,3411,B,29OCT2021:07:23:15,29OCT2021:00:00:00,26595,-122.769702,45.51744,0,132893.71,24,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659882,3411,B,29OCT2021:07:23:20,29OCT2021:00:00:00,26600,-122.769703,45.516968,0,133064.31,23,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659883,3411,B,29OCT2021:07:23:25,29OCT2021:00:00:00,26605,-122.769718,45.516525,0,133221.79,21,10,0.9,1,Y,TRANS,31OCT2021:06:06:40
4313659884,3411,B,29OCT2021:07:23:30,29OCT2021:00:00:00,26610,-122.769702,45.516197,0,133339.9,16,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659885,3411,B,29OCT2021:07:23:35,29OCT2021:00:00:00,26615,-122.769685,45.516048,5,133389.11,7,10,0.8,2,Y,TRANS,31OCT2021:06:06:40
4313659886,3411,B,29OCT2021:07:23:45,29OCT2021:00:00:00,26625,-122.769987,45.51594,0,133494.1,14,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659887,3411,B,29OCT2021:07:23:50,29OCT2021:00:00:00,26630,-122.770477,45.515947,0,133618.77,17,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659888,3411,B,29OCT2021:07:23:55,29OCT2021:00:00:00,26635,-122.77102,45.515952,0,133756.57,19,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659889,3411,B,29OCT2021:07:24:00,29OCT2021:00:00:00,26640,-122.771605,45.51596,0,133904.2,20,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659890,3411,B,29OCT2021:07:24:05,29OCT2021:00:00:00,26645,-122.772235,45.515975,0,134061.68,21,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659891,3411,B,29OCT2021:07:24:10,29OCT2021:00:00:00,26650,-122.772895,45.515985,0,134229.01,23,10,0.9,1,Y,TRANS,31OCT2021:06:06:40
4313659892,3411,B,29OCT2021:07:24:15,29OCT2021:00:00:00,26655,-122.773505,45.515982,0,134379.93,21,10,0.9,1,Y,TRANS,31OCT2021:06:06:40
4313659893,3411,B,29OCT2021:07:24:20,29OCT2021:00:00:00,26660,-122.774038,45.515975,0,134514.44,18,10,0.9,1,Y,TRANS,31OCT2021:06:06:40
4313659894,3411,B,29OCT2021:07:24:25,29OCT2021:00:00:00,26665,-122.774623,45.515983,0,134665.36,21,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659895,3411,B,29OCT2021:07:24:30,29OCT2021:00:00:00,26670,-122.775255,45.515983,0,134822.84,21,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659896,3411,B,29OCT2021:07:24:35,29OCT2021:00:00:00,26675,-122.775817,45.515968,0,134963.92,19,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659897,3411,B,29OCT2021:07:24:40,29OCT2021:00:00:00,26680,-122.776352,45.51597,0,135098.43,18,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659898,3411,B,29OCT2021:07:24:45,29OCT2021:00:00:00,26685,-122.776817,45.515977,0,135213.26,16,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659899,3411,B,29OCT2021:07:24:50,29OCT2021:00:00:00,26690,-122.777213,45.515975,0,135314.96,14,9,1,1,Y,TRANS,31OCT2021:06:06:40
4313659900,3411,B,29OCT2021:07:24:55,29OCT2021:00:00:00,26695,-122.777637,45.515978,0,135419.95,14,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659901,3411,B,29OCT2021:07:25:00,29OCT2021:00:00:00,26700,-122.778137,45.515967,0,135547.9,17,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659902,3411,B,29OCT2021:07:25:05,29OCT2021:00:00:00,26705,-122.778648,45.515973,0,135675.86,17,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659903,3411,B,29OCT2021:07:25:10,29OCT2021:00:00:00,26710,-122.779153,45.515977,0,135803.81,17,10,0.9,1,Y,TRANS,31OCT2021:06:06:40
4313659904,3411,B,29OCT2021:07:25:15,29OCT2021:00:00:00,26715,-122.779685,45.51599,0,135938.32,18,10,0.9,1,Y,TRANS,31OCT2021:06:06:40
4313659905,3411,B,29OCT2021:07:25:20,29OCT2021:00:00:00,26720,-122.780272,45.515988,0,136085.96,20,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659906,3411,B,29OCT2021:07:25:25,29OCT2021:00:00:00,26725,-122.780838,45.51598,0,136230.32,20,10,1,1,Y,TRANS,31OCT2021:06:06:40
4313659907,3411,B,29OCT2021:07:25:30,29OCT2021:00:00:00,26730,-122.781402,45.515932,0,136371.4,19,10,1,1,Y,TRANS,31OCT2021:06:06:40
4313659908,3411,B,29OCT2021:07:25:35,29OCT2021:00:00:00,26735,-122.781933,45.515863,0,136509.19,19,10,0.9,1,Y,TRANS,31OCT2021:06:06:40
4313659909,3411,B,29OCT2021:07:25:40,29OCT2021:00:00:00,26740,-122.782443,45.515757,0,136643.71,18,10,0.9,1,Y,TRANS,31OCT2021:06:06:40
4313659910,3411,B,29OCT2021:07:25:45,29OCT2021:00:00:00,26745,-122.782928,45.515655,0,136771.66,17,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659911,3411,B,29OCT2021:07:25:50,29OCT2021:00:00:00,26750,-122.783432,45.51556,0,136902.89,18,10,1,1,Y,TRANS,31OCT2021:06:06:40
4313659912,3411,B,29OCT2021:07:25:55,29OCT2021:00:00:00,26755,-122.784007,45.515545,0,137047.25,20,10,1,1,Y,TRANS,31OCT2021:06:06:40
4313659913,3411,B,29OCT2021:07:26:00,29OCT2021:00:00:00,26760,-122.78459,45.515617,0,137194.89,20,10,1,1,Y,TRANS,31OCT2021:06:06:40
4313659914,3411,B,29OCT2021:07:26:05,29OCT2021:00:00:00,26765,-122.785065,45.515737,0,137322.84,17,10,1,1,Y,TRANS,31OCT2021:06:06:40
4313659915,3411,B,29OCT2021:07:26:10,29OCT2021:00:00:00,26770,-122.785417,45.515797,0,137411.42,12,10,0.9,1,Y,TRANS,31OCT2021:06:06:40
4313659916,3411,B,29OCT2021:07:26:15,29OCT2021:00:00:00,26775,-122.785627,45.515833,0,137463.92,7,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659917,3411,B,29OCT2021:07:26:20,29OCT2021:00:00:00,26780,-122.785737,45.515852,0,137490.16,4,10,1,1,Y,TRANS,31OCT2021:06:06:40
4313659918,3411,B,29OCT2021:07:26:25,29OCT2021:00:00:00,26785,-122.785825,45.515858,0,137513.13,3,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659919,3411,B,29OCT2021:07:26:30,29OCT2021:00:00:00,26790,-122.785958,45.515868,0,137545.94,4,10,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659920,3411,B,29OCT2021:07:26:35,29OCT2021:00:00:00,26795,-122.786097,45.515882,0,137578.74,4,10,1,1,Y,TRANS,31OCT2021:06:06:40
4313659921,3411,B,29OCT2021:07:26:40,29OCT2021:00:00:00,26800,-122.786183,45.515892,46,137598.43,3,9,0.9,14,Y,TRANS,31OCT2021:06:06:40
4313659922,3411,B,29OCT2021:07:27:30,29OCT2021:00:00:00,26850,-122.7863,45.515883,0,137631.24,6,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659923,3411,B,29OCT2021:07:27:35,29OCT2021:00:00:00,26855,-122.786512,45.515618,0,137749.35,16,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659924,3411,B,29OCT2021:07:27:40,29OCT2021:00:00:00,26860,-122.78681,45.515138,0,137942.92,26,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659925,3411,B,29OCT2021:07:27:45,29OCT2021:00:00:00,26865,-122.787358,45.514645,0,138169.3,31,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659926,3411,B,29OCT2021:07:27:50,29OCT2021:00:00:00,26870,-122.78786,45.514382,0,138320.21,21,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659927,3411,B,29OCT2021:07:27:55,29OCT2021:00:00:00,26875,-122.788128,45.51428,0,138395.67,10,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659928,3411,B,29OCT2021:07:27:59,29OCT2021:00:00:00,26879,-122.788192,45.51426,3,138408.8,2,12,0.7,3,Y,TRANS,31OCT2021:06:06:40
4313659929,3411,B,29OCT2021:07:28:05,29OCT2021:00:00:00,26885,-122.78826,45.514238,0,138431.76,5,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659930,3411,B,29OCT2021:07:28:10,29OCT2021:00:00:00,26890,-122.788513,45.513993,0,138549.87,16,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659931,3411,B,29OCT2021:07:28:15,29OCT2021:00:00:00,26895,-122.788212,45.513563,0,138730.32,25,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659932,3411,B,29OCT2021:07:28:20,29OCT2021:00:00:00,26900,-122.78757,45.513088,0,138969.82,33,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659933,3411,B,29OCT2021:07:28:25,29OCT2021:00:00:00,26905,-122.786768,45.512742,0,139206.04,32,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659934,3411,B,29OCT2021:07:28:30,29OCT2021:00:00:00,26910,-122.78614,45.512597,0,139370.08,22,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659935,3411,B,29OCT2021:07:28:35,29OCT2021:00:00:00,,-122.785682,45.512545,0,139488.19,16,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659936,3411,B,29OCT2021:07:28:40,29OCT2021:00:00:00,,-122.785127,45.512525,0,139629.27,19,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659937,3411,B,29OCT2021:07:28:45,29OCT2021:00:00:00,,-122.784812,45.512515,0,139704.73,10,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659938,3411,B,29OCT2021:07:28:50,29OCT2021:00:00:00,,-122.784577,45.512505,0,139767.06,8,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659939,3411,B,29OCT2021:07:28:55,29OCT2021:00:00:00,26935,-122.784143,45.512488,0,139881.89,16,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659940,3411,B,29OCT2021:07:29:00,29OCT2021:00:00:00,26940,-122.783578,45.512475,0,140029.53,20,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659941,3411,B,29OCT2021:07:29:05,29OCT2021:00:00:00,26945,-122.782845,45.51245,0,140216.54,26,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659942,3411,B,29OCT2021:07:29:10,29OCT2021:00:00:00,26950,-122.781973,45.512423,0,140442.92,31,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659943,3411,B,29OCT2021:07:29:15,29OCT2021:00:00:00,26955,-122.78098,45.512392,0,140692.26,34,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659944,3411,B,29OCT2021:07:29:20,29OCT2021:00:00:00,26960,-122.780185,45.512288,0,140892.39,27,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659945,3411,B,29OCT2021:07:29:25,29OCT2021:00:00:00,26965,-122.779608,45.512135,0,141049.87,21,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659946,3411,B,29OCT2021:07:29:30,29OCT2021:00:00:00,26970,-122.778985,45.51187,0,141236.88,26,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659947,3411,B,29OCT2021:07:29:35,29OCT2021:00:00:00,26975,-122.778392,45.511492,0,141437.01,27,11,0.9,1,Y,TRANS,31OCT2021:06:06:40
